date Germany India Singapore Norway Netherlands
2021-07-19 3745227 31174322 63245 134534 1842540
2021-07-20 3746410 31216337 63440 134780 1849550
2021-07-21 3748613 31257720 63621 134969 1855885
2021-07-22 3750503 31293062 63791 135235 1862387
2021-07-23 3752592 31332159 63924 135463 1867786
2021-07-24 3754511 31371901 64054 135631 1872491
2021-07-25 3755898 31411262 64179 135767 1876406
2021-07-26 3756856 31440951 64314 136097 1880450
2021-07-27 3758401 31484605 64453 136370 1884048
2021-07-28 3761169 31528114 64589 136541 1888613
2021-07-29 3764311 31572344 64722 137127 1892128
2021-07-30 3766765 31613993 64861 137471 1895206
2021-07-31 3769165 31655824 64981 137627 1897647
2021-08-01 3771262 31695958 65102 137853 1899823
2021-08-02 3772109 31726507 65213 138265 1902072
2021-08-03 3773875 31769132 65315 138740 1905024
2021-08-04 3777446 31812114 65410 139218 1908607
2021-08-05 3780985 31856757 65508 139778 1911632
2021-08-06 3784433 31895385 65605 140204 1914402
2021-08-07 3787639 31934455 65686 140466 1916901
2021-08-08 3790766 31969954 65764 140836 1919082
2021-08-09 3791949 31998158 65836 141333 1921333
2021-08-10 3794429 32036511 65836 141999 1923680
2021-08-11 3799425 32077706 65953 142321 1926573
2021-08-12 3805063 32117826 66012 142895 1929495
2021-08-13 3810641 32156493 66061 143767 1932083
2021-08-14 3816285 32192576 66119 144035 1934614
2021-08-15 3821013 32225513 66172 144484 1936987
2021-08-16 3823139 32250679 66225 145014 1939383
2021-08-17 3827051 32285857 66281 145761 1942391
2021-08-18 3835375 32322258 66334 146373 1945033
2021-08-19 3843775 32358829 66366 147058 1947560
2021-08-20 3853055 32393286 66406 147778 1950237
2021-08-21 3861147 32424234 66443 148055 1952768
2021-08-22 3868197 32449306 66478 148608 1955267
2021-08-23 3871865 32474773 66576 149732 1957800
2021-08-24 3877612 32512366 66692 150825 1960873
2021-08-25 3889173 32558530 66812 152119 1963635
2021-08-26 3901799 32603188 66928 153534 1966648
2021-08-27 3913828 32649947 66928 155086 1969192
2021-08-28 3924131 32695030 67171 156133 1971619
2021-08-29 3932547 32737939 67171 157040 1973884
2021-08-30 3937106 32768880 67459 158389 1976296
2021-08-31 3942856 32810845 67620 160174 1979267
2021-09-01 3956387 32857937 67800 161814 1982194
2021-09-02 3970102 32903289 67991 163364 1984868
2021-09-03 3984353 32945907 68210 165051 1987668
2021-09-04 3995188 32988673 68469 166200 1990140
2021-09-05 4005641 33027621 68660 167265 1992291
2021-09-06 4010390 33058843 68901 168469 1994847
2021-09-07 4017116 33096718 69233 170173 1997755
2021-09-08 4030681 33139981 69582 171719 2000258
2021-09-09 4046112 33174954 70039 173348 2003063
2021-09-10 4059081 33208330 70612 174649 2005351
2021-09-11 4070295 33236921 71167 175489 2005482
2021-09-12 4077640 33264175 71687 176142 2009353
2021-09-13 4083151 33289579 72294 177262 2011426
2021-09-14 4089476 33316755 73131 178481 2013925
